Motion Through Fluids Experiment Thu, Feb 06, 2020 2:13 PM
Time(sec)	Position(mm)
0.014	2.315
0.114	2.315
0.164	2.315
0.214	2.315
0.264	2.862
0.314	4.502
0.364	5.049
0.414	5.595
0.464	6.142
0.514	6.142
0.565	6.689
0.614	6.689
0.664	6.689
0.714	6.689
0.764	6.689
0.814	7.236
0.864	7.782
0.914	7.782
0.964	8.876
1.014	9.423
1.064	9.969
1.114	10.516
1.164	11.063
1.214	11.610
1.264	12.156
1.314	12.703
1.365	13.797
1.414	14.343
1.464	14.890
1.514	15.437
1.564	15.984
1.614	16.530
1.664	17.077
1.714	17.624
1.764	18.717
1.814	19.264
1.864	19.811
1.914	20.358
1.964	20.904
2.014	21.451
2.064	21.998
2.114	22.545
2.164	23.091
2.214	24.185
2.264	24.732
2.314	25.278
2.364	25.825
2.414	26.372
2.464	27.465
2.514	27.465
2.564	28.559
2.614	29.105
2.664	29.652
2.714	30.199
2.764	30.746
2.814	31.292
2.864	31.839
2.914	32.386
2.964	32.933
3.014	34.026
3.064	34.573
3.114	35.120
3.164	35.666
3.214	36.213
3.264	36.760
3.314	37.307
3.364	37.853
3.414	38.947
3.464	39.494
3.514	40.040
3.564	40.587
3.614	41.134
3.664	41.681
3.715	42.227
3.764	42.774
3.814	43.321
3.865	44.414
3.914	44.414
3.964	45.508
4.014	46.055
4.064	46.601
4.114	47.148
4.164	47.695
4.214	48.241
4.264	48.788
4.314	49.335
4.364	49.882
4.414	50.975
4.464	51.522
4.514	52.069
4.564	52.615
4.614	53.162
4.664	53.709
4.715	54.256
4.764	54.802
4.814	55.896
4.865	55.896
4.915	56.989
4.964	57.536
5.014	58.083
5.064	58.630
5.114	59.176
5.164	59.723
5.214	60.270
5.264	60.817
5.314	61.910
5.364	62.457
5.414	63.004
5.464	63.550
5.514	64.097
5.564	64.644
5.614	65.191
5.664	65.737
5.714	66.284
5.764	66.831
5.814	67.378
5.864	68.471
5.914	69.018
5.964	69.564
6.014	70.111
6.064	70.658
6.114	71.205
6.164	71.751
6.214	72.298
6.265	72.845
6.314	73.938
6.364	74.485
6.414	75.032
6.464	75.579
6.514	76.125
6.564	76.672
6.614	77.219
6.664	77.766
6.714	78.859
6.764	79.406
6.814	79.953
6.864	80.499
6.914	81.046
6.964	81.593
7.014	82.140
7.065	82.686
7.115	83.233
7.164	83.780
7.214	84.873
7.265	85.420
7.314	85.967
7.364	86.514
7.414	87.060
7.464	87.607
7.515	88.154
7.564	88.701
7.614	89.247
7.664	90.341
7.714	90.887
7.764	91.434
7.814	91.981
7.864	92.528
7.914	93.074
7.964	93.621
8.014	94.168
8.065	94.715
8.114	95.261
8.164	96.355
8.214	96.902
8.364	98.542
8.414	99.089
8.465	99.635
8.514	100.182
8.564	100.729
8.614	101.276
8.664	101.822
8.714	102.916
8.764	103.463
8.814	104.009
8.864	104.556
8.914	105.103
8.964	105.650
9.015	106.196
9.064	106.743
9.114	107.290
9.164	108.383
9.214	108.930
9.264	109.477
9.314	110.024
9.365	110.570
9.414	111.117
9.464	111.664
9.514	112.210
9.564	112.757
9.614	113.304
9.664	113.851
9.714	114.944
9.764	115.491
9.814	116.038
9.864	116.584
9.914	117.131
9.964	117.678
10.014	118.225
10.064	118.771
10.114	119.318
10.164	120.412
10.214	120.958
10.264	121.505
10.314	122.052
10.364	122.599
10.414	123.145
10.464	123.692
10.514	124.239
10.564	124.786
10.614	125.332
10.664	126.426
10.714	126.973
10.764	127.519
10.814	128.066
10.864	128.613
10.914	129.160
11.014	130.253
11.064	130.800
11.114	131.347
11.164	132.440
11.214	132.987
11.264	133.533
11.314	134.080
11.364	134.627
11.415	135.174
11.464	135.720
11.514	136.267
11.564	136.814
11.614	137.361
11.665	138.454
11.714	139.001
11.764	139.548
11.814	140.094
11.864	140.641
11.914	141.188
11.964	141.735
12.014	142.281
12.064	142.828
12.114	143.922
12.164	144.468
12.214	145.015
12.264	145.562
12.314	146.109
12.364	146.655
12.414	147.202
12.464	147.749
12.514	148.296
12.564	148.842
12.614	149.389
12.664	150.483
12.714	151.029
12.764	151.576
12.814	152.123
12.864	152.670
12.914	153.216
12.964	153.763
13.014	154.310
13.064	154.856
13.114	155.403
13.164	155.950
