Motion Through Fluids Experiment Thu, Feb 06, 2020 3:02 PM
Time(sec)	Position(mm)
0.046	6.689
0.096	6.142
0.146	6.689
0.196	6.142
0.246	5.595
0.296	5.049
0.346	7.782
0.396	5.595
0.446	2.862
0.496	2.862
0.546	1.222
0.596	25.278
0.646	30.199
0.696	34.573
0.746	39.494
0.796	44.414
0.846	49.335
0.896	54.256
0.946	59.176
0.996	64.644
1.046	70.111
1.096	75.579
1.146	81.046
1.196	86.514
1.246	92.528
1.296	97.995
1.346	103.463
1.396	108.930
1.446	114.397
1.496	119.865
1.546	125.332
1.596	130.800
1.646	136.267
1.696	142.281
1.746	147.749
1.796	153.216
1.846	159.230
1.896	164.698
1.946	170.165
1.996	176.179
2.046	181.647
2.096	187.661
2.146	193.129
2.196	198.596
2.246	204.610
2.296	210.078
2.346	216.092
2.396	221.559
2.446	227.027
2.496	233.041
2.546	239.055
2.596	244.522
2.646	250.537
2.696	255.457
2.746	0.000
2.796	0.000
2.846	0.000
2.896	0.000
2.946	0.000
2.996	0.000
3.046	0.000
3.096	0.000
3.147	0.000
3.196	0.000
3.246	0.000
3.296	0.000
3.346	0.000
3.396	0.000
3.446	0.000
3.496	0.000
3.546	0.000
3.596	0.000
3.646	0.000
3.696	0.000
3.746	0.000
3.796	0.000
3.846	0.000
3.896	0.000
3.946	0.000
3.996	0.000
4.046	0.000
4.096	0.000
4.146	0.000
4.196	0.000
4.246	0.000
4.296	0.000
4.347	0.000
4.396	0.000
4.446	0.000
4.496	0.000
4.546	0.000
4.596	0.000
4.646	0.000
4.696	0.000
4.746	0.000
4.796	0.000
4.846	0.000
4.896	0.000
4.946	0.000
4.996	0.000
5.046	0.000
5.096	0.000
5.146	0.000
5.196	0.000
5.246	0.000
5.296	0.000
5.346	0.000
5.396	0.000
5.446	0.000
5.496	0.000
5.546	0.000
5.596	0.000
5.646	0.000
5.696	0.000
5.746	0.000
5.796	0.000
5.846	0.000
5.896	0.000
5.946	0.000
5.996	0.000
