Motion Through Fluids Experiment Thu, Feb 06, 2020 2:56 PM
Time(sec)	Position(mm)
0.038	1.768
0.088	0.675
0.138	1.768
0.188	34.573
0.238	40.040
0.288	45.508
0.338	50.975
0.388	56.443
0.438	61.910
0.488	67.378
0.538	73.392
0.588	78.859
0.638	84.873
0.688	90.887
0.738	96.902
0.788	102.916
0.838	108.930
0.888	114.944
0.938	121.505
0.988	127.519
1.038	133.533
1.088	139.548
1.138	146.109
1.188	152.123
1.238	158.684
1.288	164.698
1.338	170.712
1.388	177.273
1.438	183.287
1.488	189.848
1.538	195.862
1.588	202.423
1.638	208.437
1.688	214.998
1.738	221.012
1.788	227.027
1.838	231.947
1.888	238.508
1.938	244.522
1.988	250.537
2.038	255.457
2.088	0.000
2.138	0.000
2.188	0.000
2.238	0.000
2.288	0.000
2.338	0.000
2.388	0.000
2.438	0.000
2.488	0.000
2.538	0.000
2.588	0.000
2.638	0.000
2.688	0.000
2.738	0.000
2.788	0.000
2.838	0.000
2.888	0.000
2.938	0.000
2.988	0.000
3.038	0.000
3.088	0.000
3.138	0.000
3.188	0.000
3.238	0.000
3.288	0.000
3.338	0.000
3.388	0.000
3.438	0.000
3.488	0.000
3.538	0.000
3.588	0.000
3.638	0.000
3.688	0.000
3.738	0.000
3.788	0.000
3.838	0.000
3.888	0.000
3.938	0.000
3.988	0.000
4.038	0.000
4.088	0.000
4.138	0.000
4.188	0.000
4.238	0.000
4.288	0.000
4.338	0.000
4.388	0.000
4.439	0.000
4.488	0.000
4.538	0.000
4.588	0.000
4.638	0.000
4.689	0.000
4.738	0.000
4.788	0.000
4.838	0.000
4.888	0.000
4.938	0.000
4.988	0.000
5.038	0.000
5.088	0.000
5.138	0.000
5.188	0.000
5.238	0.000
5.288	0.000
5.338	0.000
5.388	0.000
5.438	0.000
5.488	0.000
5.538	0.000
5.588	0.000
5.638	0.000
5.688	0.000
5.738	0.000
5.788	0.000
5.838	0.000
5.888	0.000
5.939	0.000
5.989	0.000
